location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km
Rajarajeshwari Nagar,12.9199,77.5024,West,Apartment,2,1290,7000,5313,5600,6032,6498,7000,8.24,Yes,15.6,7.9,44.9
RT Nagar,13.0187,77.5934,North,Builder Floor,2,850,7750,6521,6739,7060,7397,7750,4.49,No,11.7,5.2,25.8
Devanahalli,13.2418,77.7118,North,Apartment,2,1290,9550,5135,5788,6839,8082,9550,17.76,No,31.3,7.9,8.7
Marathahalli,12.962,77.6966,East,Apartment,3,1820,9250,5840,6379,7220,8172,9250,14.93,No,2.9,9.6,38.2
Thanisandra,13.0623,77.6287,North,Apartment,1,520,10050,6345,6931,7845,8879,10050,13.14,No,12.2,7.5,19.2
Rajajinagar,12.9901,77.5515,West,Builder Floor,4,2570,14500,11575,12083,12840,13645,14500,6.37,Yes,13.3,4,30.4
Frazer Town,12.9813,77.6159,Central,Builder Floor,2,900,11050,9199,9526,10009,10517,11050,4.92,No,11,3.7,36.9
Malleshwaram,13.0056,77.5705,North,Apartment,4,2910,14100,12823,13056,13395,13743,14100,2.42,Yes,14.2,3.6,29.4
Frazer Town,12.9782,77.6185,Central,Apartment,2,1120,11800,9823,10172,10688,11230,11800,5.43,No,9.6,3.9,37.6
Devanahalli,13.2421,77.7105,North,Apartment,2,1200,8900,4785,5394,6374,7532,8900,17.96,No,28.3,8.4,8.4
Kengeri,12.9162,77.4876,West,Apartment,1,450,6200,4849,5082,5430,5802,6200,7.43,Yes,19.2,8.4,45.9
Electronic City,12.8408,77.6583,South,Villa,1,610,7350,4562,5000,5685,6464,7350,12.23,No,0.7,18.4,53.9
Banashankari,12.9353,77.5529,South,Builder Floor,1,460,9050,7079,7419,7927,8470,9050,6.44,Yes,10.9,4.5,38.5
Banashankari,12.9292,77.5497,South,Villa,1,700,8350,6531,6844,7313,7814,8350,6,Yes,11,5.4,38.6
Thanisandra,13.0651,77.6253,North,Apartment,2,1280,8800,5556,6069,6869,7775,8800,12.01,No,12.5,7.1,19.3
KR Puram,13.0065,77.701,East,Builder Floor,2,1330,9700,5100,5774,6864,8160,9700,19.27,Yes,7.1,6.7,33.2
MG Road,12.9761,77.5961,Central,Builder Floor,2,1020,14750,12023,12500,13209,13958,14750,6.21,Yes,12.4,2.9,32.2
Koramangala,12.934,77.6288,South,Apartment,3,1900,21250,13303,14555,16512,18732,21250,14.5,No,5.2,5.5,37.3
MG Road,12.9763,77.5976,Central,Villa,3,1570,16450,13408,13940,14731,15567,16450,6.01,Yes,13.1,2.8,38.5
Koramangala,12.936,77.6288,South,Apartment,3,2080,21000,13146,14383,16317,18511,21000,12.68,No,5.1,5.6,39.3
Marathahalli,12.9625,77.6961,East,Builder Floor,2,1250,9800,6187,6758,7649,8658,9800,14.14,No,3,10.5,39
RT Nagar,13.021,77.5905,North,Builder Floor,1,480,7100,5976,6175,6469,6777,7100,4.55,No,14.1,5,23.6
JP Nagar,12.9107,77.5835,South,Villa,2,1070,9950,7194,7654,8354,9117,9950,9.01,Yes,8.4,6.1,41.3
Yelahanka,13.0963,77.5965,North,Apartment,3,1750,11000,6291,7006,8143,9464,11000,18.52,No,19.9,5.3,11.9
Frazer Town,12.9736,77.613,Central,Builder Floor,3,1720,12400,10323,10689,11231,11801,12400,5.72,No,10.3,3.7,32.5
KR Puram,13.007,77.6974,East,Builder Floor,2,920,8950,4705,5327,6333,7529,8950,20.29,Yes,6.8,6.6,33.4
Hebbal,13.0305,77.6002,North,Apartment,4,2440,16150,10843,11703,13029,14506,16150,11.04,No,10.6,8.7,17.9
HSR Layout,12.912,77.6363,South,Apartment,2,1100,13400,7788,8645,10005,11579,13400,17.09,No,5.5,8.3,43.6
Anjanapura,12.8563,77.5725,South,Apartment,1,590,6150,4714,4959,5328,5724,6150,6.89,No,12.4,10,47.8
RT Nagar,13.0207,77.5857,North,Apartment,2,890,8000,6731,6956,7288,7636,8000,4.29,No,13.3,5.4,24
Bannerghatta Road,12.8773,77.5961,South,Builder Floor,3,2060,9850,6167,6747,7654,8683,9850,13.59,No,8.5,7.1,42.6
Sarjapur Road,12.8985,77.6895,East,Apartment,1,530,11800,7143,7867,9005,10308,11800,14.14,No,4.3,12.2,40.8
KR Puram,13.0084,77.7011,East,Apartment,3,1930,9750,5126,5803,6899,8202,9750,17.91,Yes,6.5,6.8,35
Malleshwaram,13.0075,77.571,North,Villa,3,2110,14450,13140,13379,13727,14084,14450,2.61,Yes,14.9,3.4,26.8
Devanahalli,13.2441,77.7173,North,Apartment,2,900,9300,5000,5636,6660,7870,9300,16.9,No,31.3,8.5,7.5
Jayanagar,12.9248,77.5963,South,Villa,2,1080,15950,11210,11993,13189,14504,15950,9.48,Yes,9.6,3.5,38
Hoodi,12.982,77.7187,East,Villa,2,1140,11300,7322,7957,8944,10053,11300,13.17,Yes,3.9,12.6,40.1
Malleshwaram,13.0003,77.5726,North,Apartment,3,1450,13550,12323,12547,12873,13207,13550,2.39,Yes,12.8,3.2,27.5
Sarjapur Road,12.9025,77.6902,East,Apartment,3,2170,11600,7023,7734,8853,10134,11600,14.67,No,4.3,11.2,40.7
Indiranagar,12.9745,77.6439,East,Apartment,4,2870,19400,13025,14058,15651,17425,19400,12.1,Yes,7.5,4,34.9
Hulimavu,12.895,77.609,South,Builder Floor,3,1470,7500,5423,5770,6297,6872,7500,9.87,No,7.2,8.4,44.2
Bellandur,12.9293,77.6819,East,Apartment,3,2100,12900,7682,8487,9758,11220,12900,17.03,No,3.8,11.2,44.1
Frazer Town,12.9737,77.6107,Central,Builder Floor,2,1070,11800,9823,10172,10688,11230,11800,4.88,No,10.1,3.9,33.1
Hebbal,13.0384,77.5947,North,Villa,4,2090,16650,11179,12066,13433,14955,16650,12.27,No,10.4,8.3,18
Rajarajeshwari Nagar,12.9194,77.5118,West,Apartment,1,520,7600,5768,6080,6549,7055,7600,8.62,Yes,14.4,8.4,38.3
Sarjapur Road,12.8969,77.6866,East,Apartment,3,1920,12000,7264,8000,9158,10483,12000,14.53,No,4.1,10.8,39.7
Koramangala,12.9305,77.6227,South,Villa,3,1580,21100,13209,14452,16395,18599,21100,12.35,No,5.1,5.2,39.1
Bellandur,12.9262,77.6811,East,Apartment,3,1960,13900,8276,9144,10514,12089,13900,15.78,No,3.5,11.2,41.3
Richmond Town,12.9587,77.6038,Central,Apartment,3,1700,13750,10755,11271,12043,12868,13750,7.2,Yes,10.4,3,32.5
HSR Layout,12.907,77.6403,South,Apartment,2,880,14300,8311,9226,10677,12356,14300,16.53,No,6,8.1,46.8
RT Nagar,13.0241,77.5918,North,Builder Floor,2,960,7750,6521,6739,7060,7397,7750,4.96,No,13.9,5.4,25.5
Sarjapur Road,12.9019,77.682,East,Builder Floor,2,1340,12600,7627,8400,9616,11007,12600,14.41,No,4.9,12.5,42.1
Banashankari,12.9291,77.5495,South,Builder Floor,2,1320,8450,6609,6926,7401,7908,8450,7.3,Yes,10.7,4.5,35.1
Devanahalli,13.2499,77.7132,North,Builder Floor,1,660,9350,5028,5667,6696,7913,9350,17.1,No,27.9,7.9,8.5
Jayanagar,12.9255,77.5892,South,Apartment,2,1080,14450,10156,10865,11948,13140,14450,8.95,Yes,8.7,4,40.2
HSR Layout,12.9117,77.6385,South,Apartment,2,850,14650,8514,9451,10938,12659,14650,18.03,No,5.3,8.6,46.9
Manyata Tech Park,13.0469,77.6197,North,Builder Floor,3,1590,12750,8408,9107,10188,11397,12750,12.32,No,0.5,6.9,18
Whitefield,12.9727,77.7478,East,Builder Floor,3,2110,13600,5900,6938,8683,10867,13600,24.37,Yes,2.1,13.8,45
Electronic City,12.8403,77.6586,South,Apartment,1,470,6900,4283,4694,5337,6068,6900,14.71,No,0.8,19.5,58.1
Malleshwaram,13.0066,77.5734,North,Apartment,2,1230,13350,12140,12361,12682,13012,13350,2.52,Yes,14.4,3.5,27.8
Kanakapura Road,12.8656,77.5843,South,Apartment,2,1270,8300,5726,6148,6795,7510,8300,9.02,Yes,8.6,7.9,41
Hebbal,13.0343,77.601,North,Apartment,3,1820,15700,10541,11377,12666,14102,15700,10.62,No,9,8.1,17
Nagarbhavi,12.9618,77.4975,West,Villa,2,1170,6500,5299,5509,5821,6151,6500,5.65,No,18,6.5,45.6
ITPL,12.9887,77.7254,East,Apartment,3,1350,11750,7482,8159,9214,10405,11750,13.08,No,1.5,14.1,38.4
Marathahalli,12.9583,77.6958,East,Apartment,1,630,9700,6125,6690,7572,8570,9700,13.73,No,2.8,10.9,43.8
Rajajinagar,12.992,77.5481,West,Villa,1,480,14350,11457,11959,12708,13504,14350,5.39,Yes,13.2,3.9,32.6
Indiranagar,12.9746,77.6379,East,Apartment,4,2230,19050,12789,13804,15369,17111,19050,11.4,Yes,7.1,4.2,36.5
Sarjapur Road,12.8995,77.6876,East,Apartment,4,3220,12000,7264,8000,9158,10483,12000,14.18,No,4.1,11.7,44.8
Anjanapura,12.8518,77.573,South,Builder Floor,2,970,6100,4676,4919,5285,5678,6100,7.06,No,11.4,9.7,44
JP Nagar,12.9109,77.5884,South,Apartment,3,2130,9200,6651,7077,7724,8430,9200,9.35,Yes,8.2,6.7,43.4
Hoodi,12.9862,77.7206,East,Apartment,3,1700,11100,7194,7818,8787,9876,11100,12.68,Yes,4.1,11.4,34.8
Gottigere,12.8673,77.6002,South,Apartment,3,2090,7050,5196,5508,5980,6493,7050,9.12,No,9.5,8.3,44.1
Kanakapura Road,12.8601,77.5819,South,Apartment,3,1950,8250,5692,6111,6754,7465,8250,12.05,Yes,7.7,7.9,43.6
Rajajinagar,12.9914,77.5538,West,Apartment,3,1370,12550,10020,10459,11114,11810,12550,6.24,Yes,11.5,3.7,28.7
Koramangala,12.9389,77.6228,South,Villa,3,1710,21350,13366,14624,16590,18820,21350,14.58,No,5,4.8,39.6
Thanisandra,13.0633,77.6278,North,Apartment,3,1410,8900,5619,6138,6947,7863,8900,12.29,No,12.5,6.5,20.9
Kanakapura Road,12.868,77.5821,South,Apartment,2,970,9000,6210,6667,7368,8143,9000,9.6,Yes,8.7,8.1,46.1
Marathahalli,12.957,77.7011,East,Builder Floor,2,1120,8500,5367,5862,6635,7510,8500,11.98,No,3.3,10.2,39
Indiranagar,12.9799,77.645,East,Villa,2,1090,20600,13830,14927,16619,18503,20600,10.32,Yes,7.1,4.6,36.4
Rajarajeshwari Nagar,12.9199,77.5034,West,Builder Floor,2,1240,7150,5426,5719,6161,6637,7150,6.68,Yes,15.8,8.1,39.5
ITPL,12.9841,77.7288,East,Builder Floor,4,2940,11450,7291,7951,8979,10140,11450,12.66,No,1.6,14.2,35.4
Banashankari,12.9334,77.5499,South,Apartment,3,1740,8450,6609,6926,7401,7908,8450,5.96,Yes,9.7,4.6,34.9
Hulimavu,12.893,77.6107,South,Apartment,2,1220,7150,5168,5499,6002,6551,7150,8.12,No,7.8,7.5,42.7
HSR Layout,12.9143,77.6359,South,Apartment,2,1280,13550,7875,8742,10117,11708,13550,17.06,No,5.5,7.5,43.7
Thanisandra,13.056,77.6235,North,Apartment,2,870,9200,5808,6344,7181,8128,9200,12.57,No,12.3,7.4,19.7
Koramangala,12.9306,77.6271,South,Villa,2,970,22350,13991,15308,17366,19701,22350,12.52,No,5.3,5.2,41.1
Varthur,12.9475,77.7506,East,Apartment,2,980,7200,4748,5143,5753,6436,7200,13.21,No,3.6,13.8,41.4
Bellandur,12.9268,77.6747,East,Apartment,3,1620,13900,8276,9144,10514,12089,13900,17.05,No,3.8,11,46.2
KR Puram,13.0049,77.6998,East,Apartment,2,970,9750,5126,5803,6899,8202,9750,18.35,Yes,6.4,7.2,37.1
Kanakapura Road,12.8607,77.59,South,Apartment,2,1020,8050,5555,5964,6591,7284,8050,11.88,Yes,7.7,7.6,45
ITPL,12.9904,77.7323,East,Apartment,3,1420,10100,6432,7014,7920,8944,10100,13.5,No,1.5,12.4,42.4
JP Nagar,12.9039,77.5872,South,Apartment,2,1240,10100,7302,7769,8479,9254,10100,8.95,Yes,8.7,6.6,36.4
JP Nagar,12.9045,77.587,South,Builder Floor,1,510,10100,7302,7769,8479,9254,10100,10.4,Yes,8.6,6.7,43.1
Hulimavu,12.8971,77.6143,South,Apartment,2,1000,7750,5603,5961,6506,7101,7750,10.49,No,7.7,8,45.9
Nagarbhavi,12.967,77.498,West,Villa,1,640,6300,5135,5339,5642,5962,6300,5.05,No,16,6.8,42.8
Jayanagar,12.9201,77.5981,South,Apartment,3,1550,14400,10121,10827,11907,13094,14400,10.31,Yes,9.8,3.9,35.8
Rajarajeshwari Nagar,12.9261,77.5083,West,Apartment,2,1140,7200,5465,5760,6205,6684,7200,7.4,Yes,15.4,9.1,44.3
Yelahanka,13.1026,77.595,North,Apartment,2,1000,9700,5549,6179,7181,8346,9700,15.33,No,21.3,4.9,13.5
Devanahalli,13.2508,77.7124,North,Builder Floor,3,2030,8550,4598,5183,6124,7236,8550,19,No,29.1,8.6,8.1
Hennur,13.0368,77.6439,North,Builder Floor,2,1030,8850,5942,6413,7140,7949,8850,10.49,No,12.4,7.4,20.9
Electronic City,12.8483,77.6608,South,Villa,2,1250,6650,4128,4524,5144,5849,6650,13.87,No,0.8,18.8,50.7
Indiranagar,12.978,77.6382,East,Apartment,3,2080,19750,13259,14311,15933,17739,19750,10.97,Yes,7.7,4.2,38.7
Hoodi,12.9784,77.7197,East,Apartment,2,1280,10600,6869,7465,8391,9431,10600,12,Yes,4.1,11.4,38.1
ITPL,12.9874,77.7264,East,Builder Floor,1,490,11050,7036,7673,8665,9785,11050,13.77,No,1.6,13.6,41.2
Anjanapura,12.8516,77.5739,South,Builder Floor,3,1990,6550,5021,5282,5675,6097,6550,7.28,No,11.3,9.7,47.2
Varthur,12.9465,77.7488,East,Apartment,3,1760,7600,5013,5429,6073,6794,7600,11.78,No,3.7,14,46.2
Manyata Tech Park,13.0431,77.6219,North,Apartment,2,1200,11750,7749,8393,9389,10503,11750,13.47,No,0.5,6.6,20.6
Richmond Town,12.9662,77.6033,Central,Apartment,3,2080,13350,10442,10943,11693,12494,13350,5.85,Yes,10.8,3,32.8
Hulimavu,12.8915,77.617,South,Villa,3,1410,7100,5133,5461,5960,6505,7100,8.71,No,7.7,8.3,44.4
Kanakapura Road,12.8592,77.582,South,Villa,2,1220,8050,5555,5964,6591,7284,8050,9.34,Yes,7.5,7.9,43
Hennur,13.0409,77.6371,North,Builder Floor,2,1290,8000,5371,5797,6454,7186,8000,12.28,No,10.7,7.3,23.1
Marathahalli,12.9578,77.6973,East,Apartment,2,1330,8900,5619,6138,6947,7863,8900,13.02,No,3.1,10.3,43.7
Rajarajeshwari Nagar,12.9174,77.5039,West,Apartment,2,1330,8100,6148,6480,6980,7519,8100,7.45,Yes,14.6,7.8,43.5
Banashankari,12.9324,77.5567,South,Apartment,3,1870,7900,6179,6475,6919,7393,7900,5.93,Yes,9.6,4.6,34.9
Gottigere,12.8759,77.5993,South,Apartment,2,1210,7300,5380,5703,6192,6723,7300,8.29,No,9.4,9.7,41.7
Hennur,13.0408,77.635,North,Apartment,3,2030,8350,5606,6051,6737,7500,8350,11.17,No,11.8,7.6,21.1
Sarjapur Road,12.9025,77.6836,East,Apartment,4,2660,12700,7688,8467,9692,11094,12700,16.03,No,4.2,11.7,46.7
RT Nagar,13.0196,77.5893,North,Apartment,3,1600,7500,6311,6522,6833,7159,7500,4.55,No,12.4,5.2,26.1
Gottigere,12.8742,77.6,South,Apartment,2,1180,6450,4755,5040,5472,5941,6450,9.16,No,9.3,8.7,43.4
Indiranagar,12.9825,77.6381,East,Apartment,3,1850,19450,13059,14095,15692,17470,19450,9.81,Yes,7.1,4,33.2
Jayanagar,12.9268,77.5919,South,Villa,4,2510,15100,10613,11354,12486,13731,15100,9.89,Yes,8.6,3.8,40.6
Yelahanka,13.1009,77.5927,North,Villa,3,2190,10450,5977,6656,7736,8991,10450,16.87,No,19.9,5.4,13.2
Frazer Town,12.9812,77.6158,Central,Apartment,3,1990,12400,10323,10689,11231,11801,12400,5,No,11.3,3.9,38.8
Yelahanka,13.0959,77.5918,North,Apartment,3,1720,9800,5605,6242,7255,8432,9800,15.26,No,19.7,4.8,11.5
HSR Layout,12.9093,77.6403,South,Apartment,2,860,14600,8485,9419,10901,12616,14600,17.8,No,5.7,7.3,42.8
Marathahalli,12.9634,77.6971,East,Builder Floor,1,470,9300,5872,6414,7260,8217,9300,13.47,No,3,9.3,42.7
Marathahalli,12.9622,77.6959,East,Apartment,1,630,8550,5399,5897,6674,7554,8550,11.52,No,3.2,10.2,40.9
Kengeri,12.9106,77.4856,West,Builder Floor,2,870,6000,4693,4918,5255,5615,6000,6.26,Yes,21.6,9,41
Yelahanka,13.1019,77.5916,North,Apartment,3,1510,11100,6349,7070,8217,9550,11100,18.18,No,23.3,4.9,12.6
Rajarajeshwari Nagar,12.9194,77.5076,West,Builder Floor,1,450,7350,5578,5880,6334,6823,7350,7.42,Yes,14,8.1,41
Yelahanka,13.0989,77.5933,North,Builder Floor,1,650,10600,6063,6752,7847,9120,10600,16.63,No,22.1,5.4,11.8
HSR Layout,12.9151,77.6365,South,Apartment,3,1940,13000,7555,8387,9706,11233,13000,15.39,No,5.2,8.1,43.7
Hennur,13.0363,77.6346,North,Apartment,2,990,8700,5841,6304,7019,7814,8700,10.96,No,11.6,7,19.9
Hoodi,12.9841,77.7169,East,Apartment,1,520,11200,7257,7887,8865,9964,11200,12.9,Yes,4.4,11.8,38.8
Indiranagar,12.9806,77.6381,East,Apartment,3,1820,19900,13360,14420,16054,17874,19900,11.58,Yes,7,4.3,35
RT Nagar,13.0249,77.5866,North,Apartment,2,1000,8000,6731,6956,7288,7636,8000,4.92,No,12.6,5.8,24.5
Bellandur,12.9252,77.6745,East,Apartment,3,1590,12750,7592,8388,9644,11089,12750,13.1,No,4.1,10,45.6
Thanisandra,13.0637,77.6263,North,Apartment,2,1230,9800,6187,6758,7649,8658,9800,13.94,No,13,6.8,21.2
Gottigere,12.8669,77.5954,South,Builder Floor,1,560,6850,5049,5352,5811,6309,6850,7.99,No,9.6,8.7,50.2
Kengeri,12.9134,77.4832,West,Builder Floor,2,1010,6050,4732,4959,5299,5662,6050,6.61,Yes,19,9.7,42.8
Banashankari,12.926,77.5568,South,Builder Floor,1,530,8400,6570,6885,7357,7861,8400,7.82,Yes,11.5,5,40.7
Bannerghatta Road,12.8775,77.601,South,Apartment,1,590,9450,5916,6473,7343,8330,9450,11.78,No,8.5,6.1,40.6
Hebbal,13.038,77.6007,North,Villa,3,1580,17250,11581,12500,13917,15494,17250,11.08,No,9.1,7.8,16.7
Whitefield,12.967,77.7546,East,Apartment,2,870,14950,6486,7628,9546,11946,14950,28.77,Yes,2,13.5,38.6
Varthur,12.9511,77.7507,East,Apartment,2,980,7800,5144,5571,6232,6972,7800,10.46,No,3.8,13.9,38.7
Sarjapur Road,12.8964,77.6863,East,Apartment,3,1900,11600,7023,7734,8853,10134,11600,16.18,No,4.1,10.9,47.1
Hennur,13.0397,77.6419,North,Apartment,3,1570,8850,5942,6413,7140,7949,8850,12.7,No,11.7,8.2,22.2
Gottigere,12.8713,77.6013,South,Apartment,2,1060,6400,4716,4999,5428,5894,6400,8.45,No,10.2,9.6,41.5
Marathahalli,12.9591,77.703,East,Builder Floor,2,960,9900,6251,6828,7728,8747,9900,11.23,No,3,10.8,36.4
Malleshwaram,13.0054,77.5741,North,Builder Floor,3,1590,12550,11412,11620,11922,12232,12550,2.36,Yes,14.6,3.3,26.7
Electronic City,12.8445,77.6572,South,Apartment,1,470,7250,4500,4932,5608,6376,7250,14.79,No,0.8,17.6,59.9
Hennur,13.0382,77.6397,North,Apartment,2,1030,8950,6009,6486,7221,8039,8950,9.66,No,10.7,8.2,21.4
Banashankari,12.9321,77.5495,South,Apartment,1,520,8100,6336,6640,7095,7581,8100,7.25,Yes,10.6,4.8,34.4
Marathahalli,12.9546,77.7029,East,Apartment,2,1110,8600,5430,5931,6713,7598,8600,12.04,No,3.4,11.1,37.2
Electronic City,12.8467,77.6608,South,Apartment,2,1240,6650,4128,4524,5144,5849,6650,13.49,No,0.8,17.8,55.2
Banashankari,12.9331,77.5504,South,Apartment,2,980,9150,7157,7500,8014,8563,9150,6.66,Yes,10.6,5.2,36.7
ITPL,12.9865,77.7242,East,Apartment,3,1960,10450,6655,7257,8195,9254,10450,11.55,No,1.4,13.4,41.9
Kanakapura Road,12.8645,77.5862,South,Apartment,1,570,8200,5657,6074,6713,7419,8200,11.74,Yes,7.5,7.7,46.9
Banashankari,12.9283,77.5558,South,Apartment,1,520,8000,6258,6558,7007,7487,8000,6.31,Yes,11.1,4.6,34.9
Devanahalli,13.2451,77.7117,North,Apartment,2,1210,8550,4598,5183,6124,7236,8550,18.11,No,32.6,7.4,8.6
Hoodi,12.988,77.7152,East,Builder Floor,2,1260,9900,6415,6972,7836,8808,9900,14.17,Yes,4.4,12.6,34.8
Koramangala,12.9315,77.6241,South,Apartment,4,2870,23250,14555,15925,18066,20495,23250,11.92,No,5.3,5.3,37.4
Malleshwaram,13.0049,77.5662,North,Apartment,1,500,13900,12641,12871,13205,13548,13900,2.37,Yes,15.3,3.8,29.2
Gottigere,12.8735,77.597,South,Apartment,3,2030,6650,4901,5195,5641,6125,6650,8.14,No,10,8.5,44.2
Rajarajeshwari Nagar,12.9259,77.5037,West,Builder Floor,2,1220,7450,5654,5960,6420,6916,7450,8.29,Yes,14.2,8.5,41.8
Electronic City,12.8441,77.6554,South,Builder Floor,2,1310,6850,4252,4660,5298,6024,6850,13.14,No,0.8,18.4,54.7
Hennur,13.0381,77.6422,North,Builder Floor,1,620,8800,5907,6376,7099,7904,8800,11.53,No,11,7.6,22
Sarjapur Road,12.8962,77.6857,East,Villa,1,680,12150,7355,8100,9272,10614,12150,14.98,No,4.7,13.1,44.5
Marathahalli,12.9592,77.6961,East,Builder Floor,2,1230,9050,5715,6242,7065,7996,9050,13.75,No,3.1,10.8,38.1
Nagarbhavi,12.9586,77.5014,West,Apartment,1,540,6300,5135,5339,5642,5962,6300,6.26,No,17.4,7,42.6
Rajajinagar,12.9952,77.5517,West,Apartment,3,1840,14400,11496,12000,12752,13551,14400,6.84,Yes,13.5,4.1,28.5
Manyata Tech Park,13.0427,77.6171,North,Apartment,1,560,11500,7584,8214,9189,10280,11500,10.88,No,0.5,7.1,19.9
Frazer Town,12.9816,77.6117,Central,Apartment,3,1630,11800,9823,10172,10688,11230,11800,5.45,No,11.2,4,37
Banashankari,12.9343,77.5536,South,Apartment,3,1930,8000,6258,6558,7007,7487,8000,5.88,Yes,10.2,5.1,39.1
HSR Layout,12.9137,77.6416,South,Apartment,2,1180,14900,8660,9613,11125,12875,14900,13.39,No,5.2,7.6,39.8
KR Puram,13.0036,77.6977,East,Apartment,3,1450,9050,4758,5387,6404,7613,9050,18.46,Yes,6,6.2,34.8
Jayanagar,12.9208,77.5905,South,Apartment,3,1760,16000,11245,12030,13230,14549,16000,10.57,Yes,8.9,3.4,40.3
Kengeri,12.9172,77.4847,West,Builder Floor,1,490,5600,4380,4590,4905,5241,5600,6.21,Yes,20.9,9.8,39.5
Hoodi,12.9806,77.7121,East,Apartment,3,1340,10050,6512,7077,7955,8941,10050,11.16,Yes,4.4,12.2,39.1
Rajarajeshwari Nagar,12.9205,77.5046,West,Apartment,2,1090,7750,5881,6199,6678,7194,7750,8.56,Yes,16.3,8.8,38.5
Bellandur,12.9304,77.6763,East,Builder Floor,2,940,12850,7652,8454,9720,11176,12850,14.39,No,3.7,11.5,41.6
Yelahanka,13.0963,77.5995,North,Apartment,3,1430,10800,6177,6879,7995,9292,10800,16.79,No,22.1,4.7,11.2
Rajarajeshwari Nagar,12.9189,77.5093,West,Apartment,2,1200,7150,5426,5719,6161,6637,7150,7.7,Yes,13.6,7.9,43.5
Banashankari,12.9278,77.5569,South,Apartment,3,2200,8950,7000,7336,7839,8376,8950,5.92,Yes,10.4,5,38.5
Sarjapur Road,12.9039,77.6813,East,Villa,3,1640,12900,7809,8600,9844,11269,12900,12.72,No,4.1,11.6,46.9
