location,latitude,longitude,zone,property_type,bhk,total_sqft,price_per_sqft,price_2021,price_2022,price_2023,price_2024,price_2025,annual_growth_rate_pct,metro_access,distance_to_it_hub_km,kiii,distance_to_airport_km,price_growth_21_25,price_growth_23_25,price_cagr,total_value_lakhs,value_per_bhk,sqft_per_bhk,connectivity_score,price_per_sqft_norm,annual_growth_rate_pct_norm,total_value_lakhs_norm,connectivity_score_norm,distance_to_it_hub_km_norm,zone_enc,type_enc,loc_enc,predicted_price_1yr,predicted_price_3yr,predicted_price_5yr,roi_1yr,roi_3yr,roi_5yr,growth_rate_index,investment_score,category,location_rank,location_insight,best_city_flag
Manyata Tech Park,13.0486,77.6189,North,Apartment,2,1200,12750,8408,9107,10188,11397,12750,10.4,0,0.5,7.3,17.8,51.64129400570885,25.147232037691403,10.96968939352545,153.0,76.5,600.0,40.6,0.42388059701492536,0.3068565005620083,0.17615458293424396,0.7043478260869567,0.0,2,0,22,14168.0,17392.0,21407.0,11.12,36.41,67.9,14.29,45.1,Stable,137,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Anjanapura,12.8514,77.5653,South,Villa,2,880,6050,4637,4878,5241,5631,6050,7.27,0,13.1,9.3,46.7,30.47228811731723,15.435985498950583,6.875847029361859,53.24,26.62,440.0,13.549999999999999,0.023880597014925373,0.18958411390033722,0.03767403767403767,0.11630434782608695,0.38769230769230767,3,2,0,6470.0,7398.0,8455.0,6.94,22.28,39.75,9.17,28.2,Stable,81,Anjanapura offers steady 7.5% annual appreciation. Investment score: 28/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 39.4%.,0
Mg Road,12.9757,77.6039,Central,Apartment,2,1230,15750,12838,13348,14105,14905,15750,5.68,1,11.6,2.9,36.3,22.68266085059978,11.662531017369728,5.243624571323169,193.725,96.8625,615.0,45.25,0.6029850746268657,0.13001124016485574,0.2326864615000208,0.8054347826086956,0.3415384615384615,0,0,24,16577.0,18407.0,20350.0,5.25,16.87,29.21,7.02,33.1,Stable,65,Mg Road offers steady 5.6% annual appreciation. Investment score: 33/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Itpl,12.9841,77.7257,East,Apartment,2,1160,10700,6814,7431,8391,9475,10700,14.71,0,1.5,13.4,42.2,57.02964484884062,27.517578357764272,11.94260577884445,124.12,62.06,580.0,27.4,0.30149253731343284,0.46834020232296747,0.13606518691264455,0.41739130434782606,0.03076923076923077,1,0,14,11984.0,15027.0,18762.0,12.0,40.44,75.35,16.94,46.5,Stable,26,Itpl offers steady 13.0% annual appreciation. Investment score: 45/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 75.7%.,0
Hulimavu,12.8944,77.6122,South,Villa,1,540,7750,5603,5961,6506,7101,7750,8.22,0,7.6,7.3,46.1,38.318757808316974,19.12081155856133,8.447681082986524,41.85,41.85,540.0,19.35,0.1253731343283582,0.22517796927688277,0.021863157456377794,0.24239130434782613,0.21846153846153846,3,2,12,8406.0,9830.0,11557.0,8.46,26.84,49.12,11.02,32.4,Stable,136,Hulimavu offers steady 9.0% annual appreciation. Investment score: 35/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 49.9%.,0
Bannerghatta Road,12.8752,77.6012,South,Builder Floor,3,1480,9900,6198,6781,7693,8727,9900,11.77,0,8.0,6.0,43.8,59.728944820909966,28.688418042376185,12.420601769896766,146.52,48.84,493.3333333333333,20.1,0.2537313432835821,0.3581865867366055,0.16715945529504855,0.2586956521739131,0.23076923076923078,3,1,2,11128.0,14097.0,17879.0,12.4,42.39,80.6,16.23,40.1,Stable,126,Bannerghatta Road offers steady 13.5% annual appreciation. Investment score: 43/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 79.6%.,0
Indiranagar,12.9805,77.6435,East,Apartment,4,2030,20900,14032,15145,16861,18772,20900,10.61,1,6.3,4.0,39.0,48.945267958950964,23.954688334025263,10.473134734472334,424.27,106.0675,507.5,49.2,0.9104477611940298,0.31472461596103407,0.5527145018670442,0.8913043478260869,0.17846153846153845,1,0,13,23093.0,28160.0,34381.0,10.49,34.74,64.5,13.9,42.2,Premium,134,"Indiranagar commands premium pricing at Rs 19,558/sqft with a 11.3% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Electronic City,12.8495,77.6561,South,Apartment,2,1140,7400,4593,5034,5724,6508,7400,12.67,0,0.8,16.9,56.1,61.114739821467445,29.280223619846264,12.663650382627022,84.36,42.18,570.0,21.15,0.1044776119402985,0.3919070813038592,0.08087286053387749,0.28152173913043477,0.009230769230769232,3,0,5,8331.0,10602.0,13434.0,12.58,43.27,81.54,16.82,44.2,Stable,127,Electronic City offers steady 13.8% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 81.5%.,0
Rajarajeshwari Nagar,12.9256,77.5054,West,Apartment,2,1260,6900,5237,5520,5946,6405,6900,7.24,1,14.7,8.9,40.8,31.75482146266947,16.044399596367306,7.137529874177084,86.94,43.47,630.0,39.900000000000006,0.07462686567164178,0.1884600974147621,0.08445425394577936,0.6891304347826088,0.4369230769230769,4,0,27,7409.0,8546.0,9818.0,7.38,23.86,42.29,9.41,42.1,Stable,43,Rajarajeshwari Nagar offers steady 7.6% annual appreciation. Investment score: 41/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 41.1%.,0
Manyata Tech Park,13.0499,77.622,North,Apartment,3,1630,12350,8145,8822,9869,11040,12350,13.32,0,0.5,7.0,20.9,51.6267648864334,25.139325159590637,10.96703122940852,201.305,67.10166666666667,543.3333333333334,39.05,0.4,0.41626077182465343,0.24320853981870932,0.6706521739130434,0.0,2,0,22,13697.0,16875.0,20818.0,10.91,36.64,68.57,15.45,48.5,Stable,30,"Manyata Tech Park presents an emerging opportunity — current price Rs 11,967/sqft is still accessible, while connectivity score of 40 and 11.9% growth signal strong upside. 5-year ROI estimate: 68.4%. Early-entry advantage recommended.",0
Malleshwaram,13.0044,77.5664,North,Builder Floor,2,1030,14000,12730,12962,13299,13645,14000,2.36,1,13.9,3.5,29.5,9.97643362136685,5.271073013008497,2.405883319767499,144.2,72.1,515.0,46.35,0.49850746268656715,0.005620082427875606,0.16393897749829953,0.8293478260869567,0.4123076923076923,2,1,21,14350.0,15021.0,15752.0,2.5,7.29,12.51,3.1,28.5,Stable,131,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Indiranagar,12.9821,77.6443,East,Apartment,4,2190,19900,13360,14420,16054,17874,19900,11.61,1,7.3,4.4,38.7,48.952095808383234,23.956646318674473,10.474400771611814,435.81,108.9525,547.5,48.35,0.8507462686567164,0.35219183214687144,0.5687336026319078,0.8728260869565219,0.20923076923076922,1,0,13,21978.0,26820.0,32743.0,10.44,34.77,64.54,14.3,44.0,Premium,96,"Indiranagar commands premium pricing at Rs 19,558/sqft with a 11.3% annual growth trajectory. 5-year ROI forecast: 64.6%. Best suited for high-net-worth portfolio diversification.",0
Whitefield,12.9717,77.7494,East,Villa,1,660,15150,6572,7729,9673,12106,15150,21.52,1,2.2,15.8,42.7,130.52343274497872,56.621523829215334,23.219309150123934,99.99,99.99,660.0,51.449999999999996,0.5671641791044776,0.7234919445485201,0.10256944155249238,0.9402173913043478,0.05230769230769231,1,2,33,18669.0,28322.0,43034.0,23.23,86.94,184.05,30.89,80.2,High Growth,141,Whitefield is among the fastest appreciating micro-markets with 25.1% YoY growth. Investment score: 86/100. Projected 3-year ROI: 87.1%. Ideal for growth-oriented investors with a medium horizon.,1
Mg Road,12.9768,77.5998,Central,Villa,2,1300,15450,12593,13093,13836,14621,15450,5.41,1,12.2,2.9,37.4,22.687207178591283,11.665221162185603,5.244599577456888,200.85,100.425,650.0,44.099999999999994,0.5850746268656717,0.11989509179467968,0.24257693749219172,0.7804347826086955,0.36,0,2,24,16242.0,17959.0,19926.0,5.13,16.24,28.97,6.92,32.4,Stable,99,Mg Road offers steady 5.6% annual appreciation. Investment score: 33/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Koramangala,12.9353,77.6206,South,Apartment,3,1920,21950,13742,15035,17056,19349,21950,14.5,0,5.4,4.9,41.4,59.72929704555378,28.6937148217636,12.420663745629646,421.44,140.48,640.0,23.9,0.9731343283582089,0.46047208692394154,0.548786074209803,0.34130434782608693,0.15076923076923077,3,0,19,24683.0,31190.0,39426.0,12.45,42.1,79.62,17.32,34.8,Premium,41,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Yelahanka,13.1015,77.5971,North,Apartment,4,2560,11250,6434,7165,8328,9679,11250,16.33,0,23.5,5.0,13.3,74.85234690705627,35.086455331412104,14.992063270962008,288.0,72.0,640.0,23.35,0.33432835820895523,0.529037092544024,0.36355307541748216,0.32934782608695656,0.7076923076923077,2,0,34,12928.0,17072.0,22607.0,14.92,51.75,100.95,20.55,49.6,High Growth,91,Yelahanka is among the fastest appreciating micro-markets with 16.2% YoY growth. Investment score: 50/100. Projected 3-year ROI: 52.1%. Ideal for growth-oriented investors with a medium horizon.,0
Rajarajeshwari Nagar,12.9199,77.5024,West,Apartment,2,1290,7000,5313,5600,6032,6498,7000,8.24,1,15.6,7.9,44.9,31.752305665349144,16.047745358090186,7.137018435131459,90.3,45.15,645.0,36.95,0.08059701492537313,0.2259273136005995,0.08911839420313995,0.6250000000000001,0.4646153846153846,4,0,27,7514.0,8652.0,9906.0,7.34,23.6,41.51,9.81,41.6,Stable,62,Rajarajeshwari Nagar offers steady 7.6% annual appreciation. Investment score: 41/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 41.1%.,0
Rt Nagar,13.0187,77.5934,North,Builder Floor,2,850,7750,6521,6739,7060,7397,7750,4.49,0,11.7,5.2,25.8,18.846802637632265,9.773371104815865,4.411149134913206,65.875,32.9375,425.0,25.400000000000002,0.1253731343283582,0.08542525290370927,0.055213148433487416,0.37391304347826093,0.3446153846153846,2,1,29,8088.0,8839.0,9650.0,4.36,14.05,24.52,5.78,27.2,Stable,72,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
Devanahalli,13.2418,77.7118,North,Apartment,2,1290,9550,5135,5788,6839,8082,9550,17.76,0,31.3,7.9,8.7,85.97857838364168,39.640298289223566,16.779263226879127,123.195,61.5975,645.0,25.65,0.23283582089552238,0.5826152116897715,0.134781160204889,0.3793478260869565,0.9476923076923077,2,0,4,11154.0,15208.0,20706.0,16.8,59.25,116.82,22.89,56.6,High Growth,93,Devanahalli is among the fastest appreciating micro-markets with 18.2% YoY growth. Investment score: 58/100. Projected 3-year ROI: 59.2%. Ideal for growth-oriented investors with a medium horizon.,0
Marathahalli,12.962,77.6966,East,Apartment,3,1820,9250,5840,6379,7220,8172,9250,14.93,0,2.9,9.6,38.2,58.390410958904106,28.116343490304708,12.184335905738708,168.35,56.11666666666667,606.6666666666666,28.0,0.21492537313432836,0.4765829898838516,0.19746248559807883,0.43043478260869567,0.07384615384615384,1,0,23,10394.0,13089.0,16456.0,12.37,41.5,77.9,17.27,48.7,Stable,6,Marathahalli offers steady 13.3% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.6%.,0
Thanisandra,13.0623,77.6287,North,Apartment,1,520,10050,6345,6931,7845,8879,10050,13.14,0,12.2,7.5,19.2,58.392434988179666,28.107074569789674,12.184694297529397,52.26,52.26,520.0,28.2,0.2626865671641791,0.4095166729112027,0.0363136634323075,0.43478260869565216,0.36,2,0,31,11274.0,14156.0,17781.0,12.18,40.86,76.93,16.55,45.6,Stable,86,Thanisandra offers steady 13.1% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.7%.,0
Rajajinagar,12.9901,77.5515,West,Builder Floor,4,2570,14500,11575,12083,12840,13645,14500,6.37,1,13.3,4.0,30.4,25.26997840172786,12.92834890965732,5.794173640957623,372.65,93.1625,642.5,46.5,0.5283582089552239,0.15586361933308357,0.4810588708893793,0.8326086956521739,0.39384615384615385,4,1,26,15242.0,17104.0,19235.0,5.12,17.96,32.66,7.81,36.3,Stable,114,Rajajinagar offers steady 6.3% annual appreciation. Investment score: 37/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 32.6%.,0
Frazer Town,12.9813,77.6159,Central,Builder Floor,2,900,11050,9199,9526,10009,10517,11050,4.92,0,11.0,3.7,36.9,20.121752364387433,10.400639424517934,4.6900518240767575,99.45,49.725,450.0,20.55,0.32238805970149254,0.10153615586361935,0.10181984758255944,0.2684782608695652,0.3230769230769231,0,1,6,11623.0,12771.0,14021.0,5.19,15.57,26.89,6.21,22.6,Stable,51,Frazer Town offers steady 5.1% annual appreciation. Investment score: 22/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 25.8%.,0
Malleshwaram,13.0056,77.5705,North,Apartment,4,2910,14100,12823,13056,13395,13743,14100,2.42,1,14.2,3.6,29.4,9.95866801840443,5.263157894736842,2.401747405318866,410.31,102.5775,727.5,46.1,0.5044776119402985,0.007868115399025852,0.533336109607296,0.823913043478261,0.42153846153846153,2,0,21,14470.0,15169.0,15928.0,2.62,7.58,12.96,3.12,28.4,Stable,134,Malleshwaram offers steady 2.6% annual appreciation. Investment score: 30/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 12.7%.,0
Frazer Town,12.9782,77.6185,Central,Apartment,2,1120,11800,9823,10172,10688,11230,11800,5.43,0,9.6,3.9,37.6,20.12623434795887,10.404191616766468,4.691028359379423,132.16,66.08,560.0,21.6,0.36716417910447763,0.1206444361183964,0.1472258082427574,0.291304347826087,0.27999999999999997,0,0,6,12342.0,13551.0,14923.0,4.59,14.84,26.47,6.41,23.1,Stable,34,Frazer Town offers steady 5.1% annual appreciation. Investment score: 22/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 25.8%.,0
Devanahalli,13.2421,77.7105,North,Apartment,2,1200,8900,4785,5394,6374,7532,8900,17.96,0,28.3,8.4,8.4,85.99791013584117,39.6297458424851,16.782297796512037,106.8,53.4,600.0,25.8,0.19402985074626866,0.590108654926939,0.11202265439553574,0.3826086956521739,0.8553846153846154,2,0,4,10401.0,14192.0,19403.0,16.87,59.46,118.01,22.97,57.7,High Growth,70,Devanahalli is among the fastest appreciating micro-markets with 18.2% YoY growth. Investment score: 58/100. Projected 3-year ROI: 59.2%. Ideal for growth-oriented investors with a medium horizon.,0
Kengeri,12.9162,77.4876,West,Apartment,1,450,6200,4849,5082,5430,5802,6200,7.43,1,19.2,8.4,45.9,27.861414724685503,14.180478821362799,6.337115714838992,27.9,27.9,450.0,32.85,0.03283582089552239,0.1955788684900712,0.0024986465664431725,0.5358695652173914,0.5753846153846154,4,0,18,6581.0,7411.0,8404.0,6.15,19.53,35.55,8.74,38.1,Stable,53,Kengeri offers steady 6.8% annual appreciation. Investment score: 38/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Electronic City,12.8408,77.6583,South,Villa,1,610,7350,4562,5000,5685,6464,7350,12.23,0,0.7,18.4,53.9,61.113546690048224,29.287598944591032,12.663441800044017,44.835,44.835,610.0,22.35,0.10149253731343283,0.3754215061820907,0.026006746345729397,0.30760869565217397,0.006153846153846152,3,2,5,8289.0,10515.0,13332.0,12.78,43.06,81.39,16.65,44.3,Stable,125,Electronic City offers steady 13.8% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 81.5%.,0
Banashankari,12.9353,77.5529,South,Builder Floor,1,460,9050,7079,7419,7927,8470,9050,6.44,1,10.9,4.5,38.5,27.84291566605453,14.166771792607543,6.333269278291076,41.63,41.63,460.0,44.85,0.20298507462686566,0.1584863244660922,0.021557767320479187,0.7967391304347827,0.32,3,1,1,9633.0,10922.0,12298.0,6.44,20.69,35.89,8.33,40.9,Stable,128,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Banashankari,12.9292,77.5497,South,Villa,1,700,8350,6531,6844,7313,7814,8350,6.0,1,11.0,5.4,38.6,27.851783800336854,14.180226993026118,6.335113246682367,58.45,58.45,700.0,44.7,0.16119402985074627,0.14200074934432372,0.04490623134690932,0.7934782608695652,0.3230769230769231,3,2,1,8858.0,10010.0,11280.0,6.08,19.88,35.09,8.16,40.7,Stable,132,Banashankari offers steady 6.8% annual appreciation. Investment score: 42/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 35.9%.,0
Thanisandra,13.0651,77.6253,North,Apartment,2,1280,8800,5556,6069,6869,7775,8800,12.01,0,12.5,7.1,19.3,58.3873290136789,28.11180666763721,12.183790183780019,112.64,56.32,640.0,27.85,0.1880597014925373,0.3671787186212065,0.12012937436666249,0.4271739130434783,0.36923076923076925,2,0,31,9864.0,12424.0,15672.0,12.09,41.18,78.09,16.1,45.3,Stable,92,Thanisandra offers steady 13.1% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.7%.,0
Kr Puram,13.0065,77.701,East,Builder Floor,2,1330,9700,5100,5774,6864,8160,9700,19.27,1,7.1,6.7,33.2,90.19607843137256,41.31701631701632,17.435767252907098,129.01,64.505,665.0,51.3,0.2417910447761194,0.6391907081303859,0.14285317675148185,0.9369565217391304,0.20307692307692307,1,1,20,11387.0,15727.0,21651.0,17.39,62.13,123.21,24.14,73.3,High Potential,55,"Kr Puram presents an emerging opportunity — current price Rs 9,567/sqft is still accessible, while connectivity score of 51 and 18.8% growth signal strong upside. 5-year ROI estimate: 123.3%. Early-entry advantage recommended.",0
Mg Road,12.9761,77.5961,Central,Builder Floor,2,1020,14750,12023,12500,13209,13958,14750,6.21,1,12.4,2.9,32.2,22.681527073109873,11.666288136876373,5.243381417023296,150.45,75.225,510.0,46.5,0.5432835820895522,0.1498688647433496,0.1726148336317828,0.8326086956521739,0.36615384615384616,0,1,24,15540.0,17278.0,19137.0,5.36,17.14,29.74,7.24,35.5,Stable,2,Mg Road offers steady 5.6% annual appreciation. Investment score: 33/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Koramangala,12.934,77.6288,South,Apartment,3,1900,21250,13303,14555,16512,18732,21250,14.5,0,5.2,5.5,37.3,59.738404871081705,28.694282945736433,12.422266278660432,403.75,134.58333333333334,633.3333333333334,26.150000000000002,0.9313432835820895,0.46047208692394154,0.524229931009592,0.3902173913043479,0.14461538461538462,3,0,19,23856.0,30143.0,38028.0,12.26,41.85,78.96,17.32,36.6,Premium,18,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Mg Road,12.9763,77.5976,Central,Villa,3,1570,16450,13408,13940,14731,15567,16450,6.01,1,13.1,2.8,38.5,22.687947494033413,11.669268888738035,5.244758343044098,258.265,86.08833333333332,523.3333333333334,42.65,0.6447761194029851,0.1423754215061821,0.32227682227682225,0.7489130434782609,0.38769230769230767,0,2,24,17329.0,19207.0,21283.0,5.34,16.76,29.38,7.16,31.5,Stable,129,Mg Road offers steady 5.6% annual appreciation. Investment score: 33/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 29.2%.,0
Koramangala,12.936,77.6288,South,Apartment,3,2080,21000,13146,14383,16317,18511,21000,12.68,0,5.1,5.6,39.3,59.7444089456869,28.7001287001287,12.423322665445923,436.8,145.6,693.3333333333334,25.25,0.9164179104477612,0.3922817534657175,0.5701078582434514,0.3706521739130435,0.14153846153846153,3,0,19,23491.0,29823.0,37691.0,11.86,42.01,79.48,16.6,34.0,Premium,59,"Koramangala commands premium pricing at Rs 21,336/sqft with a 13.3% annual growth trajectory. 5-year ROI forecast: 79.6%. Best suited for high-net-worth portfolio diversification.",0
Marathahalli,12.9625,77.6961,East,Builder Floor,2,1250,9800,6187,6758,7649,8658,9800,14.14,0,3.0,10.5,39.0,58.396638112170685,28.121323048764545,12.185438527340553,122.5,61.25,625.0,27.5,0.24776119402985075,0.4469838890970401,0.1338164050028457,0.41956521739130437,0.07692307692307693,1,1,23,10978.0,13799.0,17356.0,12.02,40.81,77.1,16.95,46.8,Stable,57,Marathahalli offers steady 13.3% annual appreciation. Investment score: 46/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 77.6%.,0
Rt Nagar,13.021,77.5905,North,Builder Floor,1,480,7100,5976,6175,6469,6777,7100,4.55,0,14.1,5.0,23.6,18.808567603748326,9.7542123975885,4.402750411815681,34.08,34.08,480.0,24.1,0.08656716417910448,0.0876732858748595,0.011077333111231413,0.34565217391304354,0.41846153846153844,2,1,29,7420.0,8083.0,8807.0,4.51,13.85,24.04,5.8,27.1,Stable,76,Rt Nagar offers steady 4.8% annual appreciation. Investment score: 27/100. Low volatility makes it suitable for risk-averse investors. 5-year ROI estimate: 24.1%.,0
